mean1	mean2	sd1	sd2	sampleID
2.0781333	-1.0576867	-0.5140386	-0.5702587	HG00759
1.4949584	-0.3934274	-0.08620046	-0.5178347	HG00844
2.1719322	-1.097566	-0.1942768	-0.64278525	HG00851
2.3743916	-1.0282493	-0.04902859	-0.85282964	HG00864
2.0770228	-1.0296224	-0.41785833	-0.5144451	HG00867
1.8080604	-0.62244356	-0.10175757	-0.8332582	HG00879
2.2285304	-1.0189633	-0.4094622	-0.48469064	HG00956
2.2588167	-0.9858434	-0.35158807	-0.50389135	HG00978
2.090766	-0.94538575	-0.37951696	-0.50294334	HG00982
1.8370011	-0.9657372	-0.4944116	-0.2674481	HG01028
2.0751433	-0.96367794	-0.5602238	-0.56731653	HG01029
2.4625645	-1.1428298	-0.03786491	-0.7954422	HG01046
2.2500162	-1.017193	-0.35126853	-0.7521435	HG01794
2.411433	-1.0306765	-0.37896746	-0.8086074	HG01796
1.4888775	-0.4183681	-0.13346325	-0.693018	HG01797
2.3109503	-0.9966597	-0.12349959	-0.88403493	HG01798
2.056073	-1.0094936	-0.54248166	-0.5256109	HG01799
2.4050019	-0.93791723	-0.23723069	-0.78508574	HG01800
1.5245724	-0.44530952	-0.17096074	-0.57392997	HG01801
2.057525	-0.9914236	-0.52874357	-0.58283836	HG01802
2.1473134	-1.031768	-0.43870923	-0.51190835	HG01804
2.0313504	-0.96760154	-0.5516109	-0.62542224	HG01805
1.0928806	-0.18468764	0.24149586	-0.35258272	HG01806
2.1558876	-1.0165287	-0.3920853	-0.49627337	HG01807
1.5651269	-0.6311556	-0.06490876	-0.3922225	HG01808
1.8022625	-0.5480616	0.0009375056	-0.6652528	HG01809
2.1797504	-0.97195095	-0.5861256	-0.8187595	HG01810
1.759058	-0.47277552	-0.020901069	-0.7600808	HG01811
2.1878297	-0.96445286	-0.45083636	-0.82464397	HG01812
2.1167774	-1.0259014	-0.35028088	-0.535092	HG01813
2.3547337	-0.8958587	-0.30560127	-0.843221	HG01815
1.8508857	-0.75678843	-0.38476416	-0.67153573	HG01817
1.7225578	-0.5886427	0.025365487	-0.7471946	HG02151
0.8094492	-0.13908106	0.055406436	-0.5040396	HG02152
2.1987321	-0.9917373	-0.42031202	-0.4922748	HG02153
2.0876858	-1.0399457	-0.3673855	-0.5688921	HG02154
1.6293854	-0.31692865	-0.13687818	-0.7793081	HG02155
2.0821857	-0.9498983	-0.4772283	-0.5686129	HG02156
1.9951634	-0.9700044	-0.40697587	-0.63007456	HG02164
2.4320803	-1.124845	0.030306026	-0.80254054	HG02165
1.6668336	-0.71585834	-0.022148803	-0.43590584	HG02178
2.3758593	-0.9558756	-0.044670716	-1.0770526	HG02179
1.6961911	-0.43742552	0.0636567	-0.52457917	HG02180
1.5597215	-0.36426485	-0.037381306	-0.70709896	HG02181
2.3480551	-0.91481435	-0.23586692	-0.8246675	HG02182
2.132988	-1.013093	-0.34093645	-0.49282464	HG02184
1.3905265	-0.2793138	-0.19493513	-0.57950485	HG02185
1.7466179	-0.40160272	0.21522416	-0.84579134	HG02186
2.0643415	-1.01754	-0.5588336	-0.5359614	HG02187
1.7128373	-0.72323555	0.1515971	-0.44320205	HG02190
2.1501591	-0.9565339	-0.38958573	-0.8680691	HG02351
2.0931845	-0.97232354	-0.37852094	-0.47434363	HG02355
2.149038	-0.94010395	-0.32103574	-0.55217403	HG02356
1.5705342	-0.455556	-0.08000474	-0.5782073	HG02360
2.1340356	-1.0269519	-0.5005511	-0.5384373	HG02364
2.1512046	-1.0141358	-0.4357251	-0.5262764	HG02367
2.0708988	-0.97711694	-0.44795132	-0.5551033	HG02371
2.084292	-0.99117005	-0.39607567	-0.49943784	HG02373
2.095112	-0.96984243	-0.4826404	-0.50970113	HG02374
2.0899634	-0.954795	-0.42532656	-0.63464975	HG02375
2.064351	-0.98200583	-0.48229405	-0.5666127	HG02382
1.6378703	-0.7084362	0.03935583	-0.41916558	HG02383
1.4587681	-0.3808438	-0.1332181	-0.7385492	HG02384
1.461457	-0.36866435	-0.025857672	-0.50697	HG02385
1.6441315	-0.677654	-0.031513587	-0.77265304	HG02386
2.0981495	-1.047319	-0.594585	-0.5750016	HG02389
1.7106508	-0.7893926	-0.01991947	-0.44236645	HG02390
2.2427354	-0.9818848	-0.42638266	-0.85173434	HG02391
2.2641628	-1.0151674	-0.26167715	-0.44211468	HG02392
2.0994427	-1.003688	-0.35612997	-0.49044552	HG02394
2.1471791	-0.98216057	-0.479425	-0.5372463	HG02395
2.2406409	-0.9577774	-0.3240631	-0.7710331	HG02396
2.3047605	-1.022387	-0.10314058	-0.8607113	HG02397
2.2001486	-0.95992726	-0.46037242	-0.80487126	HG02398
2.2174306	-0.93529266	-0.36204386	-0.7461074	HG02399
2.0648122	-0.9432418	-0.463014	-0.5343554	HG02401
2.091336	-1.0086254	-0.43165594	-0.50392044	HG02402
1.488116	-0.38263416	-0.067383245	-0.65086967	HG02406
2.2264423	-0.9709747	-0.45878673	-0.77743477	HG02407
1.1117831	-0.13835868	0.10402496	-0.3248779	HG02408
1.2331153	-0.2766552	-0.11890574	-0.5270409	HG02409
2.18008	-0.9678774	-0.30780953	-0.49569348	HG02410
